numero_national_de_structure;libelle;sigle;etat;annee_de_creation;annee_de_fermeture;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;numero_de_structure_successeur;code_de_type_de_succession;type_de_succession;annee_de_succession
200710692W;Institut Pluridisciplinaire de recherche appliquée en génie pétrolier;IPRA;Active;2005;;Structures Fédératives de Recherche;3;3;;;;
200810697X;INSTITUT NORMAND DE CHIMIE MOLÉCULAIRE, MÉDICINALE ET MACROMOLÉCULAIRE;INC3M;Active;2008;;Structures Fédératives de Recherche;3;3;;;;
200310708F;INSTITUT DE PHYSIQUE FONDAMENTALE (IPF);FED4;Inactive;2003;2010;Structures Fédératives de Recherche;3;3;;;;
200310715N;INSTITUT EUROPEEN EST-OUEST;FED11;Inactive;2003;2006;Structures Fédératives de Recherche;3;3;;;;
200510719J;GENIE INDUSTRIEL, MECANIQUE, MATERIAUX  (GI2M);FED15;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200412225A;LABORATOIRE D'ELECTRONIQUE ET SYSTEMES DE TELECOMMUNICATIONS (AVEC L'ENSTB);UMR6165;Inactive;2004;2007;Unité mixte;22;2;;;;
200212226K;LABORATOIRE D'INFORMATIQUE FONDAMENTALE DE MARSEILLE;LIF;Inactive;2002;2011;Unité propre;21;2;;;;
200212227L;LABORATOIRE DES SCIENCES DE L'INFORMATION ET DES SYSTEMES;LSIS;Inactive;2002;2011;Unité mixte;22;2;;;;
200012229X;SYSTÈMES CHIMIQUES COMPLEXES FORMULATION-QUALITE-ENVIRONNEMENT;UMR6171;Inactive;2000;2007;Unité mixte;22;2;200812292F;EF;éclatement - fusion;2008
200412231G;CITÉS, TERRITOIRES, ENVIRONNEMENT, SOCIÉTÉS;CITERES;Inactive;2004;2011;Unité mixte;22;2;;;;
200412234K;SYNTHÈSE, MODÈLES, IMPLICATIONS  BIOLOGIQUES (SYMBIO);UMR6178;Inactive;2004;2007;Unité mixte;22;2;200812292F;EF;éclatement - fusion;2008
200812261X;INSTITUT DE BIOLOGIE DU DÉVELOPPEMENT DE MARSEILLE-LUMINY;IBDML;Inactive;2008;2011;Unité propre;21;2;;;;
200310628U;FEDERATION ELESA;FR8;Inactive;2003;2006;Structures Fédératives de Recherche;3;3;;;;
200310634A;MAISON DE L'ORIENT ET DE LA MEDITERRANEE JEAN POUILLOUX;FR538;Inactive;2003;2010;Structures Fédératives de Recherche;3;3;;;;
200610637R;Fédération de recherche du département de physique de l'Ecole Normale Supérieure;;Inactive;1998;2018;Structures Fédératives de Recherche;3;3;201922973T;F;fusion;2019
200410638A;Energétique, propulsion, espace, environnement;EPEE;Inactive;1998;2017;Structures Fédératives de Recherche;3;3;;;;
200610640U;INSTITUT FÉDÉRATIF DE RECHERCHE SUR LES ECONOMIES ET SOCIETES INDUSTRIELLES IFRESI;FR1768;Inactive;2006;2009;Structures Fédératives de Recherche;3;3;;;;
200310645M;INSTITUT DES SCIENCES DE LA TERRE DE L'ENVIRONNEMENT ET DE L'ESPACE DE MONTPELLIER;FR2035;Inactive;2003;2006;Structures Fédératives de Recherche;3;3;;;;
200310649S;MATERIAUX DE STRUCTURE ET PROPRIETES D'USAGE;FR2145;Inactive;2003;2010;Structures Fédératives de Recherche;3;3;;;;
200510659U;STATION BIOLOGIQUE DE ROSCOFF;FR2424;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200610662T;Institut de recherche en sciences et techniques de la ville;IRSTV;Active;2002;;Structures Fédératives de Recherche;3;3;;;;
200310667L;Institut de Chimie de Toulouse;ICT;Active;2003;;Structures Fédératives de Recherche;3;3;;;;
200310668M;NANOSCIENCES;FR2601;Inactive;2003;2006;Structures Fédératives de Recherche;3;3;;;;
200310669N;Sciences de la Matière et Technologies;SMT;Inactive;2003;2016;Structures Fédératives de Recherche;3;3;;;;
200510673J;SPECTROSCOPIE, MATIÈRE ET RAYONNEMENT, RÉACTIVITÉ ET THÉORIE (SMART);FR2622;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200510683V;DÉPARTEMENT DE PHYSIQUE ET CHIMIE DES MATÉRIAUX DE MULHOUSE (DPCM2);FR2798;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200510685X;FEDERATION DE CHIMIE DE NANCY;FR2843;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200410847C;MAISON DE LA RECHERCHE EN SCIENCES HUMAINES;UMS843;Inactive;2004;2011;Structures Fédératives de Recherche;3;3;;;;
200510848Z;MAISON RENE GINOUVES;UMS844;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200610854B;Observatoire de Paris;OBS. PARIS;Active;2000;;Structures Fédératives de Recherche;3;3;;;;
200310865B;NANO-ANALYSES;UMS2679;Inactive;2003;2008;Structures Fédératives de Recherche;3;3;;;;
200310866C;INVENTAIRE ET SUIVI DE LA BIODIVERSITÉ;UMS2699;Inactive;2003;2008;Structures Fédératives de Recherche;3;3;;;;
200310876N;Cellule de Coordination Documentaire nationale pour les Mathématiques;MathDoc;Active;1995;;Structures Fédératives de Recherche;3;3;;;;
200012118B;DEVELOPPEMENT ET PHYSIOLOGIE DES STRUCTURES CONTRACTILES;UMR6018;Inactive;2000;2003;Unité mixte;22;2;;;;
200012119C;DYNAMIQUE DES RECIFS ET DES PLATES-FORMES CARBONATEES;UMR6019;Inactive;2000;2003;Unité mixte;22;2;;;;
200012127L;INTERACTIONS ENTRE SYSTEMES PROTEIQUES ET DIFFERENCIATION DANS LA CELLULE TUMORALE;UMR6032;Inactive;2000;2003;Unité mixte;22;2;;;;
200012137X;CENTRE DE RECHERCHE D'HISTOIRE DES IDEES;UMR6045;Inactive;2000;2003;Unité mixte;22;2;;;;
200012141B;INSTITUT OUEST DROIT EUROPE (IODE);UMR6050;Inactive;2000;2003;Unité mixte;22;2;;;;
200012145F;CENTRE UNIVERSITAIRE DE RECHERCHES SUR L'ACTION PUBLIQUE ET POLITIQUE;UMR6054;Inactive;2000;2011;Unité mixte;22;2;;;;
200012150L;CENTRE D'EPISTEMOLOGIE ET D'ERGOLOGIE COMPARATIVES (CEPERC);UMR6059;Inactive;2000;2011;Unité propre;21;2;;;;
200012153P;"IDENTITES ET DIFFERENCIATION DES ESPACES DE L'ENVIRONNEMENT ET DES
SOCIETES (IDEES)";UMR6063;Inactive;2000;2003;Unité mixte;22;2;;;;
200012154R;DYNAMIQUES SOCIOLANGAGIERES;UMR6065;Inactive;2000;2003;Unité mixte;22;2;;;;
200012155S;LABORATOIRE ROBERVAL UNITE DE RECHERCHE EN MECANIQUE;UMR6066;Inactive;2000;2003;Unité mixte;22;2;200417062H;R;renouvellement;2004
200012167E;LABORATOIRE DE MATHEMATIQUES RAPHAEL SALEM;LMRS;Active;2000;;Unité mixte;22;2;;;;
200012184Y;GROUPE BIOCATALYSE ET CHIMIE FINE ( GBCF );UMR6111;Inactive;2000;2003;Unité mixte;22;2;;;;
200012187B;GROUPE DE CHIMIE ORGANIQUE ET MATERIAUX MOLECULAIRES ( GCO2M );UMR6114;Inactive;2000;2007;Unité mixte;22;2;200816949T;F;fusion;2008
200012190E;LABORATOIRE DE MICROBIOLOGIE GEOCHIMIE ET ECOLOGIE MARINES;UMR6117;Inactive;2000;2011;Unité propre;21;2;;;;
200012202T;INSTITUT FRESNEL MARSEILLE;UMR6133;Inactive;2000;2011;Unité mixte;22;2;;;;
200012206X;LABORATOIRE MATERIAUX ET MICROELECTRONIQUE DE PROVENCE (L2MP);UMR6137;Inactive;2000;2007;Unité mixte;22;2;200812283W;F;fusion;2008
200212207P;LABORATOIRE DE MATHÉMATIQUES NICOLAS ORESME;LMNO;Active;2002;;Unité mixte;22;2;;;;
200212208R;LABORATOIRE AMIENOIS DE MATHEMATIQUE FONDAMENTALE ET APPLIQUEE;UMR6140;Inactive;2002;2011;Unité mixte;22;2;;;;
200212212V;LABORATOIRE DE PSYCHOLOGIE COGNITIVE;LPC;Inactive;2002;2011;Unité propre;21;2;;;;
200310726A;FEDERATION LYONNAISE DE CALCUL HAUTES PERFORMANCES;FED23;Inactive;2003;2006;Structures Fédératives de Recherche;3;3;;;;
200310727B;PLATE-FORME GENOMIQUE FONCTIONNELLE;FED24;Inactive;2003;2006;Structures Fédératives de Recherche;3;3;;;;
200710737V;ALIMENTS ET PROCÉDÉS (SCIENCES ET TECHNOLOGIES INTÉGRÉES POUR L'ALIMENTATION);FED35;Inactive;2007;2010;Structures Fédératives de Recherche;3;3;;;;
200710741Z;CENTRE LYONNAIS DE MICROSCOPIE;FED4092;Inactive;2007;2010;Structures Fédératives de Recherche;3;3;;;;
200710744C;SERVICE COMMUN DES ANIMALERIES;FED4095;Inactive;2007;2010;Structures Fédératives de Recherche;3;3;;;;
200710746E;FERMAT;FED4097;Inactive;2007;2010;Structures Fédératives de Recherche;3;3;;;;
200710748G;VULNÉRABILITÉ DES OUVRAGES AUX RISQUES (VOR);FED4099;Inactive;2007;2010;Structures Fédératives de Recherche;3;3;;;;
200510753W;PÔLE INTERNATIONAL DE L'UNIVERSITÉ PARIS II;PIUP;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200810762T;INSTITUT ENERGIE FLUIDES ENVIRONNEMENT;FED4115;Inactive;2008;2011;Structures Fédératives de Recherche;3;3;201220474G;R;renouvellement;2012
200710767C;RMN BIOMÉDICALE ET NEUROSCIENCES;IFR1;Inactive;2007;2011;Structures Fédératives de Recherche;3;3;201221711B;F;fusion;2012
200610773N;IFR 13 : INSTITUT PARIS-SUD CYTOKINES;IFR13;Inactive;2006;2009;Structures Fédératives de Recherche;3;3;;;;
200710775L;INSTITUT FEDERATIF DES NEUROSCIENCES DE LYON;IFR19;Inactive;2007;2010;Structures Fédératives de Recherche;3;3;;;;
200510781B;INSTITUT FEDERATIF DE RECHERCHE EN NEUROSCIENCES;IFR37;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200610786C;CENTRE DE RECHERCHE INTEGREE EN CANCEROLOGIE;IFR54;Active;1996;;Structures Fédératives de Recherche;3;3;;;;
200610794L;INSTITUT  MÉDICAMENT - TOXICOLOGIE - CHIMIE - ENVIRONNEMENT;IFR71;Inactive;2006;2014;Structures Fédératives de Recherche;3;3;;;;
200610799S;IFR 89 : BIOLOGIE INTÉGRÉE DE LA CELLULE, VIRUS ET CANCER;IFR89;Inactive;2006;2009;Structures Fédératives de Recherche;3;3;;;;
200610803W;Institut des neurosciences des Saints-Pères;;Inactive;2002;2013;Structures Fédératives de Recherche;3;3;;;;
200510814M;BIOINGENIERIE;IFR115;Inactive;2005;2008;Structures Fédératives de Recherche;3;3;;;;
200610815J;IFR 116 : INSTITUT FÉDÉRATIF DE RECHERCHE ALFRED JOST;IFR116;Inactive;2006;2009;Structures Fédératives de Recherche;3;3;;;;
200710820K;DÉVELOPPEMENT DIVERSITÉ ET ADAPTATION DES PLANTES : PHÉNOTYPES/GÈNES;DAPHNE;Inactive;2007;2010;Structures Fédératives de Recherche;3;3;;;;
200710821L;BIOSCIENCES GERLAND LYON-SUD;IFR128;Inactive;2007;2007;Structures Fédératives de Recherche;3;3;;;;
200810834W;Maison des Sciences de l'Homme Ange-Guépin;MSH Ange-Guépin;Active;2012;;Structures Fédératives de Recherche;3;3;;;;
200310835U;TAXONOMIE - COLLECTIONS;UMS2700;Inactive;2003;2008;Structures Fédératives de Recherche;3;3;;;;
200711910V;LABORATOIRE ECOLOGIE FONCTIONNELLE ET ENVIRONNEMENT;ECOLAB;Active;2006;;Unité mixte;22;2;;;;
200711932U;INSTITUT DES NANOTECHNOLOGIES DE LYON;INL;Active;2006;;Unité mixte;22;2;;;;
201521803N;Cerema Direction Territoriale Normandie-Centre;Cerema-NCe;Active;2014;;Unité propre;21;2;;;;
199512025X;LABORATOIRE COLLISIONS, AGREGATS, REACTIVITE;LCAR;Active;1995;;Unité mixte;22;2;;;;
199512035H;CENTRE GEORGES CHEVRIER. ORDRE ET DESORDRE DANS L'HISTOIRE DES SOCIETES;UMR5605;Inactive;1995;2011;Unité mixte;22;2;;;;
199512091U;LABORATOIRE DE NEUROBIOLOGIE DES RESEAUX (LNR);UMR5816;Inactive;1995;2006;Unité mixte;22;2;200711895D;F;fusion;2007
199512097A;LABORATOIRE D'ANALYSE DES SYSTEMES DE SANTE (LASS);UMR5823;Inactive;1995;2002;Unité mixte;22;2;;;;
200012104L;LABORATOIRE DES MATERIAUX INORGANIQUES;UMR6002;Inactive;2000;2011;Unité mixte;22;2;201220211W;F;fusion;2012
199512057G;Laboratoire des Matériaux et du Génie Physique;LMGP;Active;1995;;Unité mixte;22;2;;;;
199312062W;LABORATOIRE D'INGENIERIE MOLECULAIRE POUR LA SEPARATION ET LES APPLICATIONS DES GAZ (LIMSAG) - AVEC AIR LIQUIDE;UMR5633;Inactive;1993;2006;Unité mixte;22;2;200711925L;F;fusion;2007
199112069M;GROUPE DE RECHERCHE ET D'ETUDES SUR LA MEDITERRANNEE ET LE MOYEN-ORIENT;UMR5647;Inactive;1991;2002;Unité mixte;22;2;"200311815J;200311866P";"E;E";"éclatement;éclatement";"2003;2003"
201521773F;Laboratoire Interactions, Dynamiques et Lasers (UMR 9222);LIDyL;Active;2015;;Unité mixte;22;2;;;;
199911943R;CENTRE DE RECHERCHE SUR LA LANGUE ET LES TEXTES BASQUES;IKER;Active;1999;;Unité mixte;22;2;;;;
199511947M;LABORATOIRE DE GENIE CHIMIQUE;LGC;Active;1995;;Unité mixte;22;2;;;;
197711958C;LABORATOIRE DE MECANIQUE DES CONTACTS ET DES SOLIDES;UMR5514;Inactive;1977;2006;Unité mixte;22;2;200711924K;F;fusion;2007
199511972P;LABORATOIRE D'AUTOMATIQUE DE GRENOBLE;UMR5528;Inactive;1995;2006;Unité mixte;22;2;"200711885T;200717447N";"EF;EF";"éclatement - fusion;éclatement - fusion";"2007;2007"
198911981A;VIROLOGIE ET PATHOGENESE VIRALE;UMR5537;Inactive;1989;2006;Unité mixte;22;2;200717689B;R;renouvellement;2007
199511983B;DYNAMIQUE MOLECULAIRE DES INTERACTIONS MEMBRANAIRES;UMR5539;Inactive;1995;2006;Unité mixte;22;2;200711902L;F;fusion;2007
199511987F;LABORATOIRE DE BIOGENESE MEMBRANAIRE;UMR5544;Inactive;1995;2002;Unité mixte;22;2;;;;
199512001W;BIOGEOSCIENCES DE DIJON;UMR5561;Inactive;1995;2011;Unité mixte;22;2;;;;
199112005T;LABORATOIRE D'ETUDES EN GEOPHYSIQUE ET OCEANOGRAPHIE SPATIALES - LEGOS (en commun avec le CNES);UMR5566;Inactive;1991;2002;Unité mixte;22;2;;;;
199512012H;Centre de Recherche Astrophysique de Lyon;CRAL;Active;1995;;Unité mixte;22;2;;;;
199512016M;LABORATOIRE DE MATHEMATIQUES EMILE PICARD;UMR5580;Inactive;1995;2006;Unité mixte;22;2;200711888W;F;fusion;2007
199512023V;LABORATOIRE DES COLLOÏDES, VERRES ET NANOMATERIAUX (LCVN);UMR5587;Inactive;1995;2010;Unité mixte;22;2;;;;
199911759R;SYNTHESE ET PHYSICOCHIMIE DE MOLECULES D'INTERET BIOLOGIQUE;SPCMIB;Active;1999;;Unité mixte;22;2;;;;
199911763V;CHIMIE BIOMOLECULAIRE ET INTERACTIONS BIOLOGIQUES;UMR5074;Inactive;1999;2006;Unité mixte;22;2;200711912X;EF;éclatement - fusion;2007
199511765P;HETEROCHIMIES MOLECULAIRE ET MACROMOLECULAIRE;UMR5076;Inactive;1995;2006;Unité mixte;22;2;200711918D;F;fusion;2007
199511767S;CLIMATOLOGIE DE L'ESPACE TROPICAL;UMR5080;Inactive;1995;2002;Unité mixte;22;2;;;;
199911790Z;LABORATOIRE DE PSYCHOLOGIE ET NEUROCOGNITION;LPNC;Active;1999;;Unité mixte;22;2;;;;
199911794D;LABORATOIRE DE PLANETOLOGIE DE GRENOBLE (LPG);UMR5109;Inactive;1999;2010;Unité mixte;22;2;;;;
199911802M;CENTRE D'ETUDE DES RATIONALITES ET DES SAVOIRS;UMR5117;Inactive;1999;2002;Unité mixte;22;2;;;;
200111810M;Laboratoire de mathématiques;LAMA;Active;2001;;Unité mixte;22;2;;;;
200111811N;LABORATOIRE DES TECHNOLOGIES DE LA MICROELECTRONIQUE;LTM;Active;2001;;Unité mixte;22;2;;;;
200111818W;Centre de Recherches Critiques sur le Droit;CeRCriD;Active;2001;;Unité mixte;22;2;;;;
200311824U;MOLECULES, BIOMOLECULES ET OBJETS SUPRAMOLECULAIRES. SYNTHESE, STRUCTURE, APPLICATIONS THERAPEUTIQUES.;UMR5144;Inactive;2003;2006;Unité mixte;22;2;200711913Y;F;fusion;2007
200311825V;Eco-Anthropologie;EA;Active;2009;;Unité mixte;22;2;200918439H;R;renouvellement;2009
200311830A;LABORATOIRE DE CHIMIE DES SUBSTANCES NATURELLES;UMR5154;Inactive;2003;2008;Unité mixte;22;2;;;;
200311836G;GENOMIQUE FONCTIONNELLE DES TRYPANOSOMATIDES;UMR5162;Inactive;2003;2006;Unité mixte;22;2;200711901K;F;fusion;2007
200311850X;BIOLOGIE DES ORGANISMES MARINS ET ECOSYSTEMES;UMR5178;Inactive;2003;2008;Unité mixte;22;2;200918559N;R;renouvellement;2009
200311860H;UMR 5189 - HISTOIRE ET SOURCES DES MONDES ANTIQUES;HiSoMa;Active;2003;;Unité mixte;22;2;;;;
200311862K;INTERACTIONS, CORPUS, APPRENTISSAGE, REPRESENTATIONS;ICAR;Active;2003;;Unité mixte;22;2;;;;
200311867R;TECHNIQUES ET CULTURE;UMR5196;Inactive;2003;2006;Unité mixte;22;2;;;;
200511871L;GENETIQUE MOLECULAIRE SIGNALISATION ET CANCER;UMR5201;Inactive;2005;2010;Unité mixte;22;2;;;;
200511876S;TRIANGLE : ACTION, DISCOURS, PENSEE POLITIQUE ET ECONOMIQUE;;Active;2005;;Unité mixte;22;2;;;;
200711880M;CENTRE DE RECHERCHES DE CLIMATOLOGIE;UMR5210;Inactive;2007;2011;Unité mixte;22;2;;;;
200711886U;Laboratoire d'Informatique de Grenoble;LIG;Active;2006;;Unité mixte;22;2;;;;
201521789Y;RECOVER RISQUES ECOSYSTEMES VULNERABILITE ENVIRONNEMENT RESILIENCE;;Active;2015;;Unité propre;21;2;;;;
200112447E;PHYSICO-CHIMIE DES FLUIDES GEOLOGIQUES;UMR7047;Inactive;2001;2004;Unité mixte;22;2;;;;
199911662K;LABORATOIRE DE MICROBIOLOGIE ET GENETIQUE MOLECULAIRES;LMGM;Active;1999;;Unité mixte;22;2;;;;
200511663K;Laboratoire de biogenèse membranaire;LBM;Active;2005;;Unité mixte;22;2;;;;
200411667U;MOLTECH-Anjou;;Active;2004;;Unité mixte;22;2;;;;
198211668R;BIOMECANIQUE ET BIOINGENIERIE;UMR6600;Inactive;1982;2011;Unité mixte;22;2;;;;
200111670K;BIOTECHNOLOGIE DES INTERACTIONS MACROMOLECULAIRES;UMR7100;Inactive;2001;2004;Unité mixte;22;2;;;;
199711671D;INSTITUT DE RECHERCHES SUBATOMIQUES;UMR7500;Inactive;1997;2005;Unité mixte;22;2;200612557C;F;fusion;2006
199711672E;Laboratoire de physique théorique de la matière condensée;LPTMC;Active;1997;;Unité mixte;22;2;;;;
199811675D;CENTRE D'ETUDES DES LANGUES ET LITTERATURES DU MONDE ARABE;UMR8500;Inactive;1998;2001;Unité mixte;22;2;;;;
199811676E;PHARMACOCHIMIE MOLECULAIRE ET STRUCTURALE;UMR8600;Inactive;1998;2001;Unité mixte;22;2;200217491H;F;fusion;2002
200011692N;"INFORMATION GENETIQUE ET STRUCTURALE
AVEC AVENTIS";UMR1889;Inactive;2000;2003;Unité mixte;22;2;;;;
200211694G;VIROLOGIE MOLECULAIRE ET STRUCTURALE;UMR2472;Inactive;2002;2009;Unité mixte;22;2;;;;
199911703E;LABORATOIRE D'AUTOMATIQUE, DE GENIE DES PROCEDES ET DE GENIE PHARMACEUTIQUE;LAGEPP;Active;1999;;Unité mixte;22;2;;;;
199511706A;GENIE PHYSIQUE ET MECANIQUE DES MATERIAUX (GPM2);UMR5010;Inactive;1995;2006;Unité mixte;22;2;200711929R;F;fusion;2007
199911710M;PHYSIOPATHOLOGIE ET PHARMACOLOGIE CARDIOVASCULAIRES. FACTEURS GENETIQUES ET RENAUX.;UMR5014;Inactive;1999;2002;Unité mixte;22;2;;;;
199511716L;NEUROSCIENCES SENSORIELLES, COMPORTEMENT, COGNITION;UMR5020;Inactive;1995;2010;Unité mixte;22;2;;;;
199911726E;LABORATOIRE DE CHIMIE ANALYTIQUE BIO-INORGANIQUE ET ENVIRONNEMENT;UMR5034;Inactive;1999;2006;Unité mixte;22;2;200711919E;F;fusion;2007
199511730B;TRANSDISCIPLINARITE - ENVIRONNEMENTS ET TERRITOIRES MONTAGNARDS - ORGANISATIONS SOCIALES (TEO);UMR5038;Inactive;1995;2002;Unité mixte;22;2;;;;
199911737S;MUTATIONS DES TERRITOIRES EN EUROPE;UMR5045;Inactive;1999;2006;Unité mixte;22;2;;;;
199511739L;CHIMIE ET BIOCHIMIE DES CENTRES REDOX BIOLOGIQUES;UMR5047;Inactive;1995;2006;Unité mixte;22;2;200711914Z;EF;éclatement - fusion;2007
199911745A;CENTRE DE PHYTOPHARMACIE;UMR5054;Inactive;1999;2002;Unité mixte;22;2;;;;
199511749X;INSTITUT D'ETUDES JURIDIQUES IBERIQUES ET IBERO-AMERICAINES (IEJIIA);UMR5058;Inactive;1995;2002;Unité mixte;22;2;;;;
199911751G;INSTITUT DE RECHERCHE SUR LES ARCHEOMATERIAUX;IRAMAT;Active;1999;;Unité mixte;22;2;;;;
199511753B;INSTITUT D'ASIE ORIENTALE;IAO;Active;1999;;Unité mixte;22;2;;;;
201421785Y;ECOSYSTEMES AQUATIQUES ET CHANGEMENTS  GLOBAUX;EABX;Active;2014;;Unité propre;21;2;;;;
200112456P;LABORATOIRE DE PHYSIOPATHOLOGIE DE LA NUTRITION (LPPN);UMR7059;Inactive;1997;2008;Unité mixte;22;2;;;;
199912469M;LABORATOIRE DE PHARMACOCHIMIE DE LA COMMUNICATION CELLULAIRE;UMR7081;Inactive;1999;2004;Unité mixte;22;2;;;;
199912477W;Laboratoire d'Informatique Algorithmique: Fondements et Applications;LIAFA;Inactive;1999;2015;Unité mixte;22;2;201621976X;F;fusion;2016
200812275M;CENTRE D'IMAGERIE-NEUROSCIENCES, ET D'APPLICATIONS AUX PATHOLOGIES;UMR6232;Inactive;2008;2011;Unité mixte;22;2;;;;
199612363K;LABORATOIRE D'ECONOMIE D'ORLEANS ( LEO );UMR6586;Inactive;1996;2003;Unité mixte;22;2;;;;
196912366F;CENTRE D'ETUDES SUPERIEURES DE CIVILISATION MEDIEVALE;UMR6589;Inactive;1969;2003;Unité mixte;22;2;;;;
199612371U;INSTITUT UNIVERSITAIRE DES SYSTEMES THERMIQUES INDUSTRIELS;IUSTI;Inactive;1996;2011;Unité propre;21;2;;;;
199612374X;LABORATOIRE DE RECHERCHE EN HYDRODYNAMIQUE, ENERGÉTIQUE ET ENVIRONNEMENT ATMOSPHÉRIQUE;LHEEA;Active;1996;;Unité mixte;22;2;;;;
199612378B;LABORATOIRE DE MECANIQUE APPLIQUEE R.CHALEAT;UMR6604;Inactive;1996;2003;Unité mixte;22;2;200412232H;EF;éclatement - fusion;2004
199612386K;COMPLEXE DE RECHERCHE INTERPROFESSIONNEL EN AEROTHERMOCHIMIE;CORIA;Active;1996;;Unité mixte;22;2;;;;
199612393T;LABORATOIRE DE PHYSIQUE DE LA MATIERE CONDENSEE;UMR6622;Inactive;1996;2011;Unité mixte;22;2;;;;
197712394B;LABORATOIRE DE MATHÉMATIQUES DE BESANÇON;LMB;Active;1996;;Unité mixte;22;2;;;;
199612397X;GROUPE MATIERE CONDENSEE ET MATERIAUX;UMR6626;Inactive;1996;2007;Unité mixte;22;2;200812287A;F;fusion;2008
199612403D;LABORATOIRE D'ANALYSE, TOPOLOGIE, PROBABILITES;LATP;Inactive;1996;2011;Unité propre;21;2;;;;
199612405F;Groupe de Physique des Matériaux;GPM;Active;1996;;Unité mixte;22;2;;;;
199812406Y;CENTRE EUROPEEN DE RECHERCHE ET D'ENSEIGNEMENT DE GEOSCIENCES DE L'ENVIRONNEMENT (CEREGE);UMR6635;Inactive;1998;2003;Unité mixte;22;2;200417432K;R;renouvellement;2004
200112411R;MOYEN-AGE;UMR7002;Inactive;2001;2008;Unité mixte;22;2;;;;
200112426G;GROUPE D'ANALYSE DU SOCIAL ET DE LA SOCIABILITE (GRASS);UMR7022;Inactive;2001;2008;Unité mixte;22;2;;;;
200112427H;Structures formelles du langage;SFL;Active;2001;;Unité propre;21;2;;;;
200112429K;LABORATOIRE D'ANALYSE DES SYSTEMES POLITIQUES (LASP);UMR7026;Inactive;2001;2005;Unité mixte;22;2;200612818L;F;fusion;2006
199912436B;PHARMACOLOGIE ET PHYSICO-CHIMIE DES INTERACTIONS CELLULAIRES ET MOLECULAIRES;UMR7034;Inactive;1999;2004;Unité mixte;22;2;;;;
200812282V;Laboratoire d'Informatique de Nantes Atlantique;LINA;Inactive;2008;2016;Unité mixte;22;2;201722241F;F;fusion;2017
200812286Z;LITTORAL ENVIRONNEMENT ET SOCIÉTÉS;UMR6250;Inactive;2008;2011;Unité mixte;22;2;;;;
200812288B;CENTRE DE RECHERCHE SUR LES IONS, LES MATÉRIAUX ET LA PHOTONIQUE;CIMAP;Active;2008;;Unité mixte;22;2;;;;
200812289C;LABORATOIRE ROBERVAL. UNITE DE RECHERCHE EN MECANIQUE ACOUSTIQUE ET MATERIAUX;UMR6253;Inactive;2008;2003;Unité mixte;22;2;201220262B;R;renouvellement;2004
200812292F;INSTITUT DES SCIENCES MOLECULAIRES DE MARSEILLE;ISM2;Inactive;2008;2011;Unité mixte;22;2;;;;
199612295L;LABORATOIRE DE PHYSIQUE SUBATOMIQUE ET DES TECHNOLOGIES ASSOCIEES;SUBATECH;Active;1994;;Unité mixte;22;2;;;;
199612297N;INSTITUT DES MATERIAUX JEAN ROUXEL;IMN;Active;1996;;Unité mixte;22;2;;;;
199612301T;LABORATOIRE CATALYSE ET SPECTROCHIMIE;LCS;Active;1996;;Unité mixte;22;2;;;;
201622378J;Institut pour l'Avancée des Biosciences;IAB;Active;2016;;Unité mixte;22;2;;;;
199612306Y;LABORATOIRE DE CHIMIE DU SOLIDE ET INORGANIQUE MOLECULAIRE  (CSIM);UMR6511;Inactive;1996;2005;Unité mixte;22;2;200612270R;F;fusion;2006
199612308A;LABORATOIRE DE SYNTHÈSE ORGANIQUE;UMR6513;Inactive;1996;2007;Unité mixte;22;2;200812273K;F;fusion;2008
199612310C;SYNTHESE, CATALYSE, CHIRALITE;UMR6516;Inactive;1996;2003;Unité mixte;22;2;"200412234K;200412235L";"EF;EF";"éclatement - fusion;éclatement - fusion";"2004;2004"
199612311D;CHIMIE, BIOLOGIE ET RADICAUX LIBRES;UMR6517;Inactive;1996;2006;Unité mixte;22;2;"200412235L;200717479Y;200812293G";"EF;EF;EF";"éclatement - fusion;éclatement - fusion;éclatement - fusion";"2004;2007;2008"
198812312P;REACTIONS SELECTIVES ET APPLICATIONS;UMR6519;Inactive;1988;2007;Unité mixte;22;2;200812272J;F;fusion;2008
199612327W;LABORATOIRE DES SCIENCES DE L'ENVIRONNEMENT MARIN (LEMAR);UMR6539;Inactive;1996;2007;Unité mixte;22;2;;;;
199612333C;GENETIQUE DES EUCARYOTES - ENDOCRINOLOGIE MOLECULAIRE (GEEM);UMR6547;Inactive;1996;2007;Unité mixte;22;2;200812284X;F;fusion;2008
198312336M;CENTRE DE PHYSIQUE DES PARTICULES DE MARSEILLE;CPPM;Inactive;1983;2011;Unité propre;21;2;;;;
