numero_national_de_structure;libelle;sigle;etat;annee_de_creation;annee_de_fermeture;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;numero_de_structure_successeur;code_de_type_de_succession;type_de_succession;annee_de_succession
200415176H;MOBILITÉS : COGNITION ET TEMPORALITÉ;EA3917;Inactive;2004;2011;Unité propre;21;2;201220074X;R;renouvellement;2012
200315021U;CENTRE DE RECHERCHE EN INFORMATION ET COMMUNICATION;EA3756;Inactive;2003;2004;Unité propre;21;2;;;;
200315023W;APPROCHE BIO-PSYCHO-SOCIALE DU DOPAGE;EA3759;Inactive;2003;2006;Unité propre;21;2;200715445M;F;fusion;2007
200315026Z;MÉCANISMES MMOLÉCULAIRES DANS LES DÉMENCES NEURODÉGÉNÉRATIVES;EA3763;Inactive;2003;2006;Unité mixte;22;2;;;;
200315036K;SEMINAIRE D'ETUDES MEDIEVALES HISPANIQUES;EA3775;Inactive;2003;2004;Unité propre;21;2;;;;
200315037L;OLIGOELEMENTS ET RESISTANCE AU STRESS OXYDANT INDUIT PAR LES XENOBIOTIQUES;EA3776;Inactive;2003;2006;Unité propre;21;2;;;;
200415040K;DESCRIPTION LINGUISTIQUE INFORMATISEE SUR CORPUS (DELIC);EA3779;Inactive;2004;2007;Unité propre;21;2;;;;
200415041L;CENTRE D'ETUDES DE LINGUISTIQUE ANGLAISE (CELA);EA3780;Inactive;2004;2005;Unité propre;21;2;;;;
200415042M;ÉVOLUTION BIOLOGIQUE;EA3781;Inactive;2004;2007;Unité propre;21;2;;;;
200415045R;VARIABILITE PHARMACOLOGIQUE(EXPERIMENTALE ET CLINIQUE)LIEE AUX FACTEURS DE L'ENVIRONNEMENT ET AUX PATHOLOGIES;EA3784;Inactive;2004;2007;Unité propre;21;2;;;;
200415056C;Groupe d'Etude des Géomatériaux et Environnements Naturels, Anthropiques et Archéologiques;GEGENAA;Active;2004;;Unité propre;21;2;;;;
200415057D;IMMUNO-PHARMACOLOGIE CELLULAIRE ET MOLÉCULAIRE;EA3796;Inactive;2004;2007;Unité propre;21;2;;;;
